stop month,station id,number of bikes,avg trip duration,station name,latitude,longitude
January,2023.0,1482,778.9946018893387,E 55 St & Lexington Ave,40.75968085,-73.97031366
January,3002.0,3193,820.8928906984028,South End Ave & Liberty St,40.711512,-74.01575600000001
January,3016.0,1707,744.7287639132982,Kent Ave & N 7 St,40.72036775298455,-73.96165072917937
January,3041.0,254,957.0866141732283,Kingston Ave & Herkimer St,40.67890679,-73.94142771
January,3042.0,295,13491.128813559322,Fulton St & Utica Ave,40.6794268,-73.92989109999999
January,3043.0,170,1937.5294117647059,Lewis Ave & Decatur St,40.6814598,-73.934903
January,3044.0,124,1896.2096774193549,Albany Ave & Fulton St,40.6800105,-73.938475
January,3046.0,302,749.5397350993378,Marcus Garvey Blvd & Macon St,40.682601,-73.938037
January,3047.0,377,1001.4058355437666,Halsey St & Tompkins Ave,40.682368700000005,-73.944118
January,3048.0,230,8046.586956521739,Putnam Ave & Nostrand Ave,40.684020000000004,-73.94977
January,3049.0,495,575.4262626262627,Cambridge Pl & Gates Ave,40.68488,-73.96304
January,3050.0,379,3104.9947229551453,Putnam Ave & Throop Ave,40.6851532,-73.94111
January,3052.0,384,932.2135416666666,Lewis Ave & Madison St,40.686312,-73.935775
January,3053.0,172,2453.7383720930234,Marcy Ave & Lafayette Ave,40.6900815,-73.94791500000001
January,3054.0,253,798.0592885375494,Greene Ave & Throop Ave,40.6894932,-73.942061
January,3055.0,307,820.628664495114,Greene Ave & Nostrand Ave,40.68833370000001,-73.950916
January,3056.0,291,2383.254295532646,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465
January,3057.0,459,604.6405228758169,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416
January,3058.0,327,6387.363914373089,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428
January,3059.0,224,1534.4910714285713,Pulaski St & Marcus Garvey Blvd,40.693398200000004,-73.939877
January,3060.0,229,763.7423580786026,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915
January,3061.0,128,3213.3515625,Throop Ave & Myrtle Ave,40.69622937,-73.94371094
January,3062.0,402,1459.1741293532339,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908
January,3063.0,183,1233.896174863388,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108
January,3064.0,712,804.5491573033707,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926
January,3065.0,188,1097.3297872340424,Union Ave & Wallabout St,40.70029511,-73.95032283
January,3066.0,288,1654.4444444444443,Tompkins Ave & Hopkins St,40.69957608,-73.94708417
January,3067.0,484,1792.5619834710744,Broadway & Whipple St,40.7016657,-73.9437303
January,3068.0,354,916.2259887005649,Humboldt St & Varet St,40.7031724,-73.940636
January,3069.0,245,722.2326530612245,Lorimer St & Broadway,40.70411791,-73.94818595
January,3070.0,198,5207.520202020202,McKibbin St & Manhattan Ave,40.70510918,-73.94407279
January,3071.0,313,568.8370607028754,Boerum St & Broadway,40.70538077,-73.94976519
January,3072.0,278,1581.089928057554,Leonard St & Boerum St,40.70583339,-73.94644578
January,3074.0,564,1060.6737588652481,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171
January,3075.0,150,750.7266666666667,Division Ave & Marcy Ave,40.70708701,-73.95796783
January,3076.0,456,708.1842105263158,Scholes St & Manhattan Ave,40.70870368,-73.9448625
January,3077.0,771,756.0817120622568,Stagg St & Union Ave,40.70877084,-73.95095259
January,3078.0,876,468.56278538812785,Broadway & Roebling St,40.70924826276157,-73.96063148975372
January,3080.0,650,1339.6261538461538,S 4 St & Rodney St,40.709340000000005,-73.95608
January,3081.0,523,781.3173996175908,Graham Ave & Grand St,40.711863,-73.944024
January,3082.0,748,879.629679144385,Hope St & Union Ave,40.71167351,-73.95141312
January,3083.0,419,1023.0429594272076,Bushwick Ave & Powers St,40.71247661,-73.94100005
January,3085.0,573,633.5514834205934,Roebling St & N 4 St,40.714690000000004,-73.95739
January,3086.0,1232,507.38392857142856,Graham Ave & Conselyea St,40.715143,-73.944507
January,3087.0,767,427.4341590612777,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386
